JCR Abbreviated Title;Full Journal Title;Issn;Subject Category;Discipline Scientifique OST;Origine
2D MATER;2D MATERIALS;2053-1583;Materials Science, Multidisciplinary;Chimie;SCIE
3 BIOTECH;3 BIOTECH;2190-572X;Biotechnology & Applied Microbiology;Biologie Fondamentale;SCIE
3D PRINT ADDIT MANUF;3D PRINTING AND ADDITIVE MANUFACTURING;2329-7662;Engineering, Manufacturing;Sciences pour l'Ingénieur;SCIE
3D PRINT ADDIT MANUF;3D PRINTING AND ADDITIVE MANUFACTURING;2329-7662;Materials Science, Multidisciplinary;Chimie;SCIE
4OR-Q J OPER RES;4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH;1619-4500;Operations Research & Management Science;Sciences pour l'Ingénieur;SCIE
AAPG BULL;AAPG BULLETIN;0149-1423;Geosciences, Multidisciplinary;Sciences de l'Univers;SCIE
AAPS J;AAPS JOURNAL;1550-7416;Pharmacology & Pharmacy;Recherche Médicale;SCIE
AAPS PHARMSCITECH;AAPS PHARMSCITECH;1530-9932;Pharmacology & Pharmacy;Recherche Médicale;SCIE
AATCC J RES;AATCC JOURNAL OF RESEARCH;2330-5517;Materials Science, Textiles;Chimie;SCIE
AATCC REV;AATCC REVIEW;1532-8813;Chemistry, Applied;Chimie;SCIE
AATCC REV;AATCC REVIEW;1532-8813;Engineering, Chemical;Sciences pour l'Ingénieur;SCIE
AATCC REV;AATCC REVIEW;1532-8813;Materials Science, Textiles;Chimie;SCIE
ABDOM RADIOL;ABDOMINAL RADIOLOGY;2366-004X;Radiology, Nuclear Medicine & Medical Imaging;Recherche Médicale;SCIE
ABH MATH SEM HAMBURG;ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;0025-5858;Mathematics;Mathématiques;SCIE
ACAD EMERG MED;ACADEMIC EMERGENCY MEDICINE;1069-6563;Emergency Medicine;Recherche Médicale;SCIE
ACAD MED;ACADEMIC MEDICINE;1040-2446;Education, Scientific Disciplines;Multidisciplinaire;SCIE
ACAD MED;ACADEMIC MEDICINE;1040-2446;Health Care Sciences & Services;Recherche Médicale;SCIE
