halId_s;version_i;uri_s;docType_s;doiId_s;nntId_s;title_s;subTitle_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;journalPublisher_s;volume_s;number_s;page_s;en_keyword_s;keyword_s;fr_keyword_s;conferenceTitle_s;conferenceStartDate_s;country_s;language_s;inPress_bool
hal-01916308;1;https://hal.archives-ouvertes.fr/hal-01916308;ART;10.1177/1120672118758401;;Dark and white lesions observed in central serous chorioretinopathy on optical coherence tomography angiography;;F. de Bats,P.-L. Cornut,B. Wolff,L. Kodjikian,M. Mauget-Faÿsse;2018;0.spi,1.spi.mat;European Journal of Ophthalmology;Wichtig Editore;28;;446-453;Article,Central serous retinopathy,Clinical article,Dark and white lesion,Eye injury,Fluorescence angiography,Human,Leukoplakia,Neovascular glaucoma,Optical coherence tomography angiography,Priority journal,Retina detachment,Clinical trial,Multicenter study,Optical coherence tomography,Pathology,Pathophysiology,Procedures,Prospective study,Adult,Aged,Bruch Membrane,Central Serous Chorioretinopathy,Choroid,Female,Fluorescein Angiography,Humans,Male,Middle Aged,Multimodal Imaging,Prospective Studies,Retinal Pigment Epithelium,Tomography,Optical Coherence;Article,Central serous retinopathy,Clinical article,Dark and white lesion,Eye injury,Fluorescence angiography,Human,Leukoplakia,Neovascular glaucoma,Optical coherence tomography angiography,Priority journal,Retina detachment,Clinical trial,Multicenter study,Optical coherence tomography,Pathology,Pathophysiology,Procedures,Prospective study,Adult,Aged,Bruch Membrane,Central Serous Chorioretinopathy,Choroid,Female,Fluorescein Angiography,Humans,Male,Middle Aged,Multimodal Imaging,Prospective Studies,Retinal Pigment Epithelium,Tomography,Optical Coherence;;;;;en;false
hal-02607953;1;https://hal.inrae.fr/hal-02607953;ART;10.1109/JSTARS.2018.2818796;;An empirical study on the impact of changing weather conditions on repeat-pass SAR tomography;;Y. Bai,S. Tebaldini,D. Ho Tong Minh,W. Yang;2018;0.sde;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;IEEE;11;;3505-3511;BIOMASS MISSION,CHANGING WEATHER CONDITIONS,DECORRELATION,P-BAND,TEMPORAL DECORRELATION,TOMOGRAPHY,TROPISCAT,MIXING,ABOVE GROUND BIOMASS,CROSS POLARIZATIONS,SAR TOMOGRAPHY SARTOM,TOMOGRAPHIC IMAGING;ANTENNAS,BIOMASS MISSION,CHANGING WEATHER CONDITIONS,DECORRELATION,P-BAND,TEMPORAL DECORRELATION,TOMOGRAPHY,TROPISCAT,MIXING,ABOVE GROUND BIOMASS,CROSS POLARIZATIONS,SAR TOMOGRAPHY SARTOM,TOMOGRAPHIC IMAGING,GUYANE FRANCAISE,DE CORRELATIONS,RADAR IMAGING;GUYANE FRANCAISE,DE CORRELATIONS;;;;en;false
hal-02145030;1;https://hal.archives-ouvertes.fr/hal-02145030;ART;10.1364/BOE.9.003244;;DRUNET : a dilated-residual U-Net deep learning network to segment optic nerve head tissues in optical coherence tomography images;;Sripad Krishna Devalla,Prajwal P. Renukanand,Bharathwaj K. Sreedhar,Giridhar Subramanian,Liang Zhang,Shamira Perera,Jean-Martial Mari,Khai Sing Chin,Tin A. Tun,Nicholas G. Strouthidis,Tin Aung,Alexandre H. Thiéry,Michaël J. A. Girard;2018-07;0.sdv,1.sdv.mhep,2.sdv.mhep.os;Biomedical optics express;Optical Society of America - OSA Publishing;9;;3244-3265;Optical coherence tomography,Machine vision,Medical optics and biotechnology,Algorithms,DRUNET,Dilated-residual U-Net deep learning network,Segment optic nerve head tissues,Optical,Tomography images;Optical coherence tomography,Machine vision,Medical optics and biotechnology,Algorithms,DRUNET,Dilated-residual U-Net deep learning network,Segment optic nerve head tissues,Optical,Tomography images;;;;;en;false
hal-01822830;1;https://hal.sorbonne-universite.fr/hal-01822830;ART;10.1107/S2059798318001948;;Microtubule architecture in vitro and in cells revealed by cryo-electron tomography;;Joseph Atherton,Melissa Stouffer,Fiona Francis,Carolyn Moores;2018;0.sdv,1.sdv.bbm,2.sdv.bbm.bs;Acta crystallographica. Section D, Structural biology;International Union of Crystallography;74;;572-584;Lattice defects,Neurons,Microtubules,Cryo-electron tomography,Three-dimensional reconstruction;Lattice defects,Neurons,Microtubules,Cryo-electron tomography,Three-dimensional reconstruction;;;;;en;false
hal-02624298;1;https://hal.inrae.fr/hal-02624298;ART;10.3390/jimaging4050065;;Transfer Learning from Synthetic Data Applied to Soil–Root Segmentation in X-Ray Tomography Images;;Clément Douarre,Richard Schielein,Carole Frindel,Stefan Gerth,David Rousseau;2018;0.sdv,1.sdv.bv,0.sdv,1.sdv.sa,0.spi,1.spi.signal;Journal of Imaging;MDPI;4;;65;Root systems,Segmentation,X-ray tomography,Transfer learning;Root systems,Segmentation,X-ray tomography,Transfer learning;;;;;en;false
hal-02316224;1;https://hal.archives-ouvertes.fr/hal-02316224;ART;10.1016/j.jmig.2018.01.019;;Does Computed Tomography–Based Virtual Colonoscopy Improve the Accuracy of Preoperative Assessment Based on Magnetic Resonance Imaging in Women Managed for Colorectal Endometriosis?;;Claudia Mehedin?u,L?cr?mioara Aurelia Brîndu?e,Elvira Br?til?,Michele Monroc,Ebticem Lemercier,Olivier Suaud,Cecile Collet-Savoye,Horace Roman;2018-09;0.sdv,1.sdv.mhep,2.sdv.mhep.geo,0.sdv,1.sdv.bdlr;Journal of Minimally Invasive Gynecology;Elsevier;25;;1009-1017;Bowel endometriosis,Colorectal endometriosis,Computed tomography–based virtual colonoscopy,MRI,Preoperative assessment;Bowel endometriosis,Colorectal endometriosis,Computed tomography–based virtual colonoscopy,MRI,Preoperative assessment;;;;;en;false
hal-02378859;1;https://hal.archives-ouvertes.fr/hal-02378859;ART;;;A general method for the determination of the local orthotropic directions of heterogeneous materials: application to bone structures using µCT images;;Christophe Cluzel,Rachele Allena;2018;0.sdv,1.sdv.ib;Mathematics and mechanics of complex systems;;6;;353-367;;;;;;;en;false
hal-01916327;1;https://hal.archives-ouvertes.fr/hal-01916327;ART;10.1002/admi.201800262;;Biomineralization at Titanium Revealed by Correlative 4D Tomographic and Spectroscopic Methods;;X. Wang,B. Langelier,F.A. Shah,A. Korinek,M. Bugnet,A.P. Hitchcock,A. Palmquist,K. Grandfield;2018;0.spi,1.spi.mat;Advanced Materials Interfaces;Wiley;5;;;Engineered materials,Electron tomography,Atoms,Biological implants,Biological materials,Biomineralization,Bone,Chemical bonds,Dental prostheses,Electric impedance tomography,Electron energy levels,Electron energy loss spectroscopy,Electron scattering,Energy dissipation,Hydroxyapatite,Spectroscopic analysis,Titanium,Atom probe tomography,Biological environments,Bone-implant interfaces,Orthopedic implant,Spectroscopic method,Titanium dental implants,Metal implants;Engineered materials,Electron tomography,Atoms,Biological implants,Biological materials,Biomineralization,Bone,Chemical bonds,Dental prostheses,Electric impedance tomography,Electron energy levels,Electron energy loss spectroscopy,Electron scattering,Energy dissipation,Hydroxyapatite,Spectroscopic analysis,Titanium,Atom probe tomography,Biological environments,Bone-implant interfaces,Orthopedic implant,Spectroscopic method,Titanium dental implants,Metal implants;;;;;en;false
hal-01849382;1;https://hal.archives-ouvertes.fr/hal-01849382;ART;10.1016/j.petrol.2018.02.062;;An automatic segmentation algorithm for retrieving sub-resolution porosity from X-ray tomography images;;Pavel Smal,Philippe Gouze,Olivier Rodriguez;2018-07;0.sdu,1.sdu.stu,2.sdu.stu.gp;Journal of Petroleum Science and Engineering;Elsevier;166;;198-207;X-ray microtomography,Porosity estimation,Sub-resolution porosity,Multiphase segmentation;X-ray microtomography,Porosity estimation,Sub-resolution porosity,Multiphase segmentation;;;;;en;false
hal-01913796;1;https://hal-iogs.archives-ouvertes.fr/hal-01913796;ART;;;Line-field confocal optical coherence tomography for high-resolution noninvasive imaging of skin tumors;;Arnaud Dubois,Olivier Levecq,Hicham Azimani,David Siret,Anaïs Barut,Mariano Suppa,Véronique del Marmol,Josep Malvehy,Elisa Cinotti,Pietro Rubegni,Jean-Luc Perrot;2018;0.phys,1.phys.phys,2.phys.phys.phys-optics;Journal of Biomedical Optics;Society of Photo-optical Instrumentation Engineers;23;;;Confocal microscopy,Optical coherence tomography,Skin cancer,Optical imaging;Confocal microscopy,Optical coherence tomography,Skin cancer,Optical imaging;;;;;en;false
