instStructName_s;labStructName_s;thesisSchool_s;authFullName_s;title_s;defenseDate_s;language_s;committee_s;director_s;domainAllCode_s;keyword_s;nntId_id;anrProjectAcronym_s;europeanProject;uri_s
Université Savoie Mont Blanc,Institut de recherche pour le développement [IRD] : UR219,Institut national des sciences de l'Univers,Université Grenoble Alpes [2016-2019],Centre National de la Recherche Scientifique,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux;Institut des Sciences de la Terre;École doctorale terre\, univers\, environnement (Grenoble);Frans Aben;Experimental simulation of the seismic cycle in fault damage zones,Simulation expérimentale du cycle sismique dans les zones endommagées des failles;18/11/2016;en;Pascal Forquin [Président],Jean-François Molinari [Rapporteur],Daniel R. Faulkner [Rapporteur],François Renard,Jean-Pierre Gratier,Tom M. Mitchell,Renaud Toussaint;Mai-Linh Doan;sdu.stu.gp,phys.meca.mema,spi.fluid,sdu.stu.pe;Fault mechanics,Sealing,Pulverization,Rock deformation,Seismic cycle,Dynamic permeability,Perméabilité dynamique,Cycle sismique,Déformation des roches;;;;https://tel.archives-ouvertes.fr/tel-01528568
Centre National de la Recherche Scientifique,PRES Université de Grenoble,Université Joseph Fourier - Grenoble 1,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux,Institut national des sciences de l'Univers,Institut de recherche pour le développement [IRD] : UR219,Université Savoie Mont Blanc;Institut des Sciences de la Terre;École doctorale physique (Grenoble);Matthieu Rupin;Cavité réverbérante et résonateurs sub-longueur d'onde : approches numériques et expérimentales,Reverberant cavity and sub-wavelength resonators : experimental and numerical approaches;30/04/2014;fr;Roger Maynard [Président],Julien de Rosny [Rapporteur],John H. Page [Rapporteur],Jean-Pierre Nikolovski,Sébastien Guenneau,Geoffroy Lerosey;Stefan Catheline,Philippe Roux;phys.phys;Time Reversal,Reverberating media,Inverse Filter,Ultrasounds,Metamaterials,Sub-wavelength,Sub-longueur d'onde,Métamatériaux,Ultrasons,Filtre Inverse,Retournement Temporel,Milieux réverbérants;;;;https://tel.archives-ouvertes.fr/tel-01558859
Centre National de la Recherche Scientifique,PRES Université de Grenoble,Université Joseph Fourier - Grenoble 1,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux,Institut national des sciences de l'Univers,Institut de recherche pour le développement [IRD] : UR219,Université Savoie Mont Blanc;Institut des Sciences de la Terre;Terre\, Univers\, Environnement;Benoit de Cacqueray;Dispositifs Géophysiques en Laboratoire Ondes de surface\, traitement d'antennes et haute densité spatiale,Geophysical designs at laboratory scale Surface waves\, array processing and high spatial density;17/12/2012;fr;Rapporteurs : Philippe Cote (IFSTTAR)\, Julien de Rosny (Inst. Langevin),Examinateurs : Nikolai Shapiro (IPGP)\, Jean-Luc Boelle (TOTAL)\, Julien Meunier (CGGVeritas),Directeur de thèse : Philippe Roux (ISTerre),Co-directeurs de thèse : Michel Campillo (UJF) et Stefan Catheline (INSERM);Philippe Roux(philippe.roux@ujf-grenoble.fr);sdu.stu.gp,phys.phys.phys-geo-ph,sde.mcg;Geophysics Surface waves laboratory experiments Array Beam forming Signal processing acoustic,Géophysique Onde de surface Expériece en laboratoire Antennes Formation de voie Traitement du signal acoustique;;;;https://tel.archives-ouvertes.fr/tel-00849183
Centre National de la Recherche Scientifique,PRES Université de Grenoble,Université Joseph Fourier - Grenoble 1,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux,Institut national des sciences de l'Univers,Institut de recherche pour le développement [IRD] : UR219,Université Savoie Mont Blanc;Institut des Sciences de la Terre;École doctorale physique (Grenoble);Javier Brum;Elastographie et retournement temporel des ondes de cisaillement : application à l'imagerie des solides mous,Elastography and time reversal of shear waves : application to the elasticity imaging of soft solids;23/11/2012;fr;Horacio Failache [Président],Ricardo Armentano [Rapporteur],Mickael Tanter [Rapporteur],Michel Campillo,Mickaël Fink;Stefan Catheline,Carlos Alther Negreira Casares;phys.cond.cm-gen;Biological tissues,Ultrasound,Shear waves,Time reversal,Elastography,Tissues biologiques,Ultrasons,Ondes de cisaillement,Elastographie,Retournement temporel;;;;https://tel.archives-ouvertes.fr/tel-00870362
Centre National de la Recherche Scientifique,PRES Université de Grenoble,Université Joseph Fourier - Grenoble 1,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux,Institut national des sciences de l'Univers,Institut de recherche pour le développement [IRD] : UR219,Université Savoie Mont Blanc;Institut des Sciences de la Terre;Terre\, Univers\, Environnement;Romain Jolivet;Déformation intersismique le long de la faille de Haiyuan\, Chine: Variations spatio-temporelles contraintes pas interférométrie radar,Interseismic deformation along the Haiyuan fault\, China: InSAR study of the spatial and temporal fluctuations;18/11/2011;fr;;Cécile Lasserre(cecile.lasserre@ujf-grenoble.fr);sdu.stu.te,sdu.stu.gp,phys.phys.phys-geo-ph,sde.mcg;Interférométrie Radar,Faille décrochante,Intersismique,Glissement asismique;;;;https://tel.archives-ouvertes.fr/tel-00657433
Université Savoie Mont Blanc,Institut de recherche pour le développement [IRD] : UR219,Institut national des sciences de l'Univers,Université Grenoble Alpes [2016-2019],Centre National de la Recherche Scientifique,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux;Institut des Sciences de la Terre;École doctorale terre\, univers\, environnement (Grenoble);Malgorzata Chmiel;Geophysical Processing with dense arrays in passive and active seismic configurations,Traitement de données géophysiques en réseaux denses en configuration sismique passive et active;02/03/2017;en;Jean Virieux [Président],Alessia Maggi [Rapporteur],Sébastien Chevrot [Rapporteur],Nikolai M. Shapiro,Lapo Boschi,Philippe Herrmann,Thomas Bardainne;Philippe Roux;sdu.stu.te,phys.phys.phys-geo-ph;Active sources,Microseismicity,Beamforming,Surface waves,Interferometry,Sources actives,Interférométrie,Ondes de surface,Beamforming,Microsismicité;;;;https://tel.archives-ouvertes.fr/tel-01654595
Université Savoie Mont Blanc,Institut de recherche pour le développement [IRD] : UR219,Institut national des sciences de l'Univers,Université Grenoble Alpes [2016-2019],Centre National de la Recherche Scientifique,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux;Institut des Sciences de la Terre;École doctorale terre\, univers\, environnement (Grenoble);Vincent Clerc;Caractérisation de milieux multiplement diffusants à l'aide de corrélations dans la coda,Seismo-acoustic propagation\, imaging and monitoring via use of ambient noise;05/01/2017;fr;Denis Jongmans [Président],Julien de Rosny [Rapporteur],Nikolai M. Shapiro [Rapporteur],Jérôme Vergne;Philippe Roux,Michel Campillo;sdu.stu.te,phys.phys.phys-data-an;Wave Physics,Green's Function,Seismic noise,Imaging,Acoustics,Seismology,Physique des ondes,Fonction de Green,Bruit sismique,Acoustique,Imagerie,Sismologie;;;;https://tel.archives-ouvertes.fr/tel-01686287
Université Savoie Mont Blanc,Institut de recherche pour le développement [IRD] : UR219,Institut national des sciences de l'Univers,Université Grenoble Alpes [2016-2019],Centre National de la Recherche Scientifique,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux;Institut des Sciences de la Terre;École doctorale terre\, univers\, environnement (Grenoble);Ayumi Koishi;Carbonate mineral nucleation pathways,Mécanismes de nucléation des carbonates;30/10/2017;en;Bruno Lanson [Président],Encarnacion Ruiz Agudo [Rapporteur],Liane G. Benning [Rapporteur],Laurent Michot;Germán Montes-Hernandez,Carlos M Pina;phys.phys.phys-chem-ph;Relaxation dynamics,Hydrogen bond network,Amorphous calcium carbonate,Surface hydrophobicity,Interfacial energy,Heterogeneous nucleation,Dynamique de relaxation,Réseau des liaisons hydrogène,Carbonate de calcium amorphe,Hydrophobicité de surface,Energie d'interface,Nucléation hétérogène;;;;https://tel.archives-ouvertes.fr/tel-01701947
Centre National de la Recherche Scientifique,PRES Université de Grenoble,Université Joseph Fourier - Grenoble 1,Institut Français des Sciences et Technologies des Transports\, de l'Aménagement et des Réseaux,Institut national des sciences de l'Univers,Institut de recherche pour le développement [IRD] : UR219,Université Savoie Mont Blanc;Institut des Sciences de la Terre;Terre\, Univers\, Environnement;Mathilde Radiguet;Etude des séismes lents et du chargement intersismique dans la re?gion de Guerrero au Mexique,Study of slow slip events and interseismic strain accumulation in the Guerrero region\, Mexico.;21/11/2011;fr;Raoul Madariaga (Rapporteur),Jen-Philippe Avouac (Rapporteur),Bruno Reynard (Examinateur),Olivier Vidal (Examinateur),Fabrice Cotton (Directeur de thèse),Michel Campillo (Co-Directeur de thèse);Fabrice Cotton(fabrice.cotton@obs.ujf-grenoble.fr);sdu.stu.gp,phys.phys.phys-geo-ph,sde.mcg;Slow slip events,Transient déformation,Aseismic slip,Mexico,Séismes lents,Déformation transitoire,Glissements asismiques,Subduction,Mexique,Guerrero;;;;https://tel.archives-ouvertes.fr/tel-00658355
Université de Lorraine,Centre National de la Recherche Scientifique,CentraleSupélec,Université de Lorraine,Ecole Supérieure d'Electricité - SUPELEC (FRANCE),Centre National de la Recherche Scientifique,Université Savoie Mont Blanc,Commissariat à l'énergie atomique et aux énergies alternatives;Institut Jean Lamour,Laboratoire Matériaux Optiques\, Photonique et Systèmes,SUPELEC-Campus Metz,Laboratoire d'Innovation pour les Technologies des Energies Nouvelles et les nanomatériaux;EMMA - Ecole Doctorale Energie - Mécanique - Matériaux;Stéphane Ogier;Étude et optimisation de procédés d’encapsulation de cellules photovoltaïques,Study and optimization of encapsulation processes for solar cells;23/11/2017;fr;Bruno Fayolle [Président],Valérie Gaucher [Rapporteur],Éric Dargent [Rapporteur],Serghei Anatoli,Marion Vite;Isabelle Royaud,David Chapron,Marc Ponçot;phys.cond.cm-ms;Photovoltaic,Encapsulant,Polymer,Photopolymerization,Rheology,DSC,Raman spectroscopy,Chemometrics,Chimiométrie,Photovoltaïque,Polymère,Photopolymérisation,Rhéologie,Spectroscopie Raman;;;;https://hal.univ-lorraine.fr/tel-01917458
