"";"JCR.Abbreviated.Title";"Full.Journal.Title";"Issn";"Subject.Category";"Discipline.Scientifique.OST";"Origine";"Abreviation"
"1";"2D MATER";"2D MATERIALS";"2053-1583";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"2";"3 BIOTECH";"3 BIOTECH";"2190-572X";"Biotechnology & Applied Microbiology";"Biologie Fondamentale";"SCIE";"DB"
"3";"3D PRINT ADDIT MANUF";"3D PRINTING AND ADDITIVE MANUFACTURING";"2329-7662";"Engineering, Manufacturing";"Sciences pour l'Ingénieur";"SCIE";"IK"
"4";"3D PRINT ADDIT MANUF";"3D PRINTING AND ADDITIVE MANUFACTURING";"2329-7662";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"5";"4OR-Q J OPER RES";"4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH";"1619-4500";"Operations Research & Management Science";"Sciences pour l'Ingénieur";"SCIE";"PE"
"6";"AAPG BULL";"AAPG BULLETIN";"0149-1423";"Geosciences, Multidisciplinary";"Sciences de l'Univers";"SCIE";"LE"
"7";"AAPS J";"AAPS JOURNAL";"1550-7416";"Pharmacology & Pharmacy";"Recherche Médicale";"SCIE";"TU"
"8";"AAPS PHARMSCITECH";"AAPS PHARMSCITECH";"1530-9932";"Pharmacology & Pharmacy";"Recherche Médicale";"SCIE";"TU"
"9";"AATCC J RES";"AATCC JOURNAL OF RESEARCH";"2330-5517";"Materials Science, Textiles";"Chimie";"SCIE";"QJ"
"10";"AATCC REV";"AATCC REVIEW";"1532-8813";"Chemistry, Applied";"Chimie";"SCIE";"DW"
"11";"AATCC REV";"AATCC REVIEW";"1532-8813";"Engineering, Chemical";"Sciences pour l'Ingénieur";"SCIE";"II"
"12";"AATCC REV";"AATCC REVIEW";"1532-8813";"Materials Science, Textiles";"Chimie";"SCIE";"QJ"
"13";"ABDOM RADIOL";"ABDOMINAL RADIOLOGY";"2366-004X";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"14";"ABH MATH SEM HAMBURG";"ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG";"0025-5858";"Mathematics";"Mathématiques";"SCIE";"PQ"
"15";"ACAD EMERG MED";"ACADEMIC EMERGENCY MEDICINE";"1069-6563";"Emergency Medicine";"Recherche Médicale";"SCIE";"FF"
"16";"ACAD MED";"ACADEMIC MEDICINE";"1040-2446";"Education, Scientific Disciplines";"Multidisciplinaire";"SCIE";"HB"
"17";"ACAD MED";"ACADEMIC MEDICINE";"1040-2446";"Health Care Sciences & Services";"Recherche Médicale";"SCIE";"HL"
"18";"ACAD PEDIATR";"ACADEMIC PEDIATRICS";"1876-2859";"Pediatrics";"Recherche Médicale";"SCIE";"TQ"
"19";"ACAD RADIOL";"ACADEMIC RADIOLOGY";"1076-6332";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"20";"ACAROLOGIA";"ACAROLOGIA";"0044-586X";"Entomology";"Biologie Appliquée-Ecologie";"SCIE";"IY"
"21";"ACCOUNT RES";"ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE";"0898-9621";"Medical Ethics";"Recherche Médicale";"SCIE";"OO"
"22";"ACCOUNTS CHEM RES";"ACCOUNTS OF CHEMICAL RESEARCH";"0001-4842";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"23";"ACCREDIT QUAL ASSUR";"ACCREDITATION AND QUALITY ASSURANCE";"0949-1775";"Chemistry, Analytical";"Chimie";"SCIE";"EA"
"24";"ACCREDIT QUAL ASSUR";"ACCREDITATION AND QUALITY ASSURANCE";"0949-1775";"Instruments & Instrumentation";"Physique";"SCIE";"OA"
"25";"ACI MATER J";"ACI MATERIALS JOURNAL";"0889-325X";"Construction & Building Technology";"Sciences pour l'Ingénieur";"SCIE";"FA"
"26";"ACI MATER J";"ACI MATERIALS JOURNAL";"0889-325X";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"27";"ACI STRUCT J";"ACI STRUCTURAL JOURNAL";"0889-3241";"Construction & Building Technology";"Sciences pour l'Ingénieur";"SCIE";"FA"
"28";"ACI STRUCT J";"ACI STRUCTURAL JOURNAL";"0889-3241";"Engineering, Civil";"Sciences pour l'Ingénieur";"SCIE";"IM"
"29";"ACI STRUCT J";"ACI STRUCTURAL JOURNAL";"0889-3241";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"30";"ACM COMPUT SURV";"ACM COMPUTING SURVEYS";"0360-0300";"Computer Science, Theory & Methods";"Sciences pour l'Ingénieur";"SCIE";"EX"
"31";"ACM J COMPUT CULT HE";"ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE";"1556-4673";"Computer Science, Interdisciplinary Applications";"Sciences pour l'Ingénieur";"SCIE";"EV"
"32";"ACM J EMERG TECH COM";"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS";"1550-4832";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"33";"ACM J EMERG TECH COM";"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS";"1550-4832";"Engineering, Electrical & Electronic";"Sciences pour l'Ingénieur";"SCIE";"IQ"
"34";"ACM J EMERG TECH COM";"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS";"1550-4832";"Nanoscience & Nanotechnology";"Multidisciplinaire";"SCIE";"NS"
"35";"ACM SIGCOMM COMP COM";"ACM SIGCOMM COMPUTER COMMUNICATION REVIEW";"0146-4833";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"36";"ACM T ALGORITHMS";"ACM TRANSACTIONS ON ALGORITHMS";"1549-6325";"Computer Science, Theory & Methods";"Sciences pour l'Ingénieur";"SCIE";"EX"
"37";"ACM T ALGORITHMS";"ACM TRANSACTIONS ON ALGORITHMS";"1549-6325";"Mathematics, Applied";"Mathématiques";"SCIE";"PN"
"38";"ACM T APPL PERCEPT";"ACM TRANSACTIONS ON APPLIED PERCEPTION";"1544-3558";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"39";"ACM T ARCHIT CODE OP";"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION";"1544-3566";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"40";"ACM T ARCHIT CODE OP";"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION";"1544-3566";"Computer Science, Theory & Methods";"Sciences pour l'Ingénieur";"SCIE";"EX"
"41";"ACM T ASIAN LOW-RESO";"ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING";"2375-4699";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"42";"ACM T AUTON ADAP SYS";"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS";"1556-4665";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"43";"ACM T AUTON ADAP SYS";"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS";"1556-4665";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"44";"ACM T AUTON ADAP SYS";"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS";"1556-4665";"Computer Science, Theory & Methods";"Sciences pour l'Ingénieur";"SCIE";"EX"
"45";"ACM T COMPUT EDUC";"ACM TRANSACTIONS ON COMPUTING EDUCATION";"1946-6226";"Education, Scientific Disciplines";"Multidisciplinaire";"SCIE";"HB"
