"","label","replace.by"
"1","CHEMICAL REVIEWS","Chemistry"
"2","CHEMICAL SOCIETY REVIEWS","Chemistry"
"3","Nature Chemistry","Chemistry"
"4","PROGRESS IN POLYMER SCIENCE","Chemistry"
"5","Energy & Environmental Science","Chemistry"
"6","ACCOUNTS OF CHEMICAL RESEARCH","Chemistry"
"7","Annual Review of Physical Chemistry","Chemistry"
"8","ACS Nano","Chemistry"
"9","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","Chemistry"
"10","COORDINATION CHEMISTRY REVIEWS","Chemistry"
"11","Advances in Organometallic Chemistry","Chemistry"
"12","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","Chemistry"
"13","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","Chemistry"
"14","Wiley Interdisciplinary Reviews-Computational Molecular Science","Chemistry"
"15","MASS SPECTROMETRY REVIEWS","Chemistry"
"16","ACS Catalysis","Chemistry"
"17","Chemical Science","Chemistry"
"18","Journal of Physical Chemistry Letters","Chemistry"
"19","GREEN CHEMISTRY","Chemistry"
"20","APPLIED CATALYSIS B-ENVIRONMENTAL","Chemistry"
"21","Annual Review of Analytical Chemistry","Chemistry"
"22","ADVANCES IN COLLOID AND INTERFACE SCIENCE","Chemistry"
"23","CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","Chemistry"
"24","TRAC-TRENDS IN ANALYTICAL CHEMISTRY","Chemistry"
"25","BIOSENSORS & BIOELECTRONICS","Chemistry"
"26","ALDRICHIMICA ACTA","Chemistry"
"27","JOURNAL OF CATALYSIS","Chemistry"
"28","PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","Chemistry"
"29","ChemSusChem","Chemistry"
"30","ORGANIC LETTERS","Chemistry"
"31","CHEMICAL COMMUNICATIONS","Chemistry"
"32","ADVANCED SYNTHESIS & CATALYSIS","Chemistry"
"33","PROGRESS IN SOLID STATE CHEMISTRY","Chemistry"
"34","CURRENT OPINION IN COLLOID & INTERFACE SCIENCE","Chemistry"
"35","Polymer Reviews","Chemistry"
"36","CARBON","Chemistry"
"37","INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","Chemistry"
"38","ANALYTICAL CHEMISTRY","Chemistry"
"39","SEPARATION AND PURIFICATION REVIEWS","Chemistry"
"40","CHEMISTRY-A EUROPEAN JOURNAL","Chemistry"
"41","ACS Macro Letters","Chemistry"
