label	replace by
CHEMICAL REVIEWS	Chemistry
CHEMICAL SOCIETY REVIEWS	Chemistry
Nature Chemistry	Chemistry
PROGRESS IN POLYMER SCIENCE	Chemistry
Energy & Environmental Science	Chemistry
ACCOUNTS OF CHEMICAL RESEARCH	Chemistry
Annual Review of Physical Chemistry	Chemistry
ACS Nano	Chemistry
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	Chemistry
COORDINATION CHEMISTRY REVIEWS	Chemistry
Advances in Organometallic Chemistry	Chemistry
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	Chemistry
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	Chemistry
Wiley Interdisciplinary Reviews-Computational Molecular Science	Chemistry
MASS SPECTROMETRY REVIEWS	Chemistry
ACS Catalysis	Chemistry
Chemical Science	Chemistry
Journal of Physical Chemistry Letters	Chemistry
GREEN CHEMISTRY	Chemistry
APPLIED CATALYSIS B-ENVIRONMENTAL	Chemistry
Annual Review of Analytical Chemistry	Chemistry
ADVANCES IN COLLOID AND INTERFACE SCIENCE	Chemistry
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING	Chemistry
TRAC-TRENDS IN ANALYTICAL CHEMISTRY	Chemistry
BIOSENSORS & BIOELECTRONICS	Chemistry
ALDRICHIMICA ACTA	Chemistry
JOURNAL OF CATALYSIS	Chemistry
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY	Chemistry
ChemSusChem	Chemistry
ORGANIC LETTERS	Chemistry
CHEMICAL COMMUNICATIONS	Chemistry
ADVANCED SYNTHESIS & CATALYSIS	Chemistry
PROGRESS IN SOLID STATE CHEMISTRY	Chemistry
CURRENT OPINION IN COLLOID & INTERFACE SCIENCE	Chemistry
Polymer Reviews	Chemistry
CARBON	Chemistry
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY	Chemistry
ANALYTICAL CHEMISTRY	Chemistry
SEPARATION AND PURIFICATION REVIEWS	Chemistry
CHEMISTRY-A EUROPEAN JOURNAL	Chemistry
ACS Macro Letters	Chemistry
Polymer Chemistry	Chemistry
JOURNAL OF MEDICINAL CHEMISTRY	Chemistry
LAB ON A CHIP	Chemistry
JOURNAL OF MEMBRANE SCIENCE	Chemistry
MACROMOLECULES	Chemistry
IUCrJ	Chemistry
Journal of Chemical Theory and Computation	Chemistry
Catalysis Science & Technology	Chemistry
ACS Sustainable Chemistry & Engineering	Chemistry
Annual Review of Chemical and Biomolecular Engineering	Chemistry
MICROCHIMICA ACTA	Chemistry
INORGANIC CHEMISTRY	Chemistry
ELECTROCHIMICA ACTA	Chemistry
JOURNAL OF ORGANIC CHEMISTRY	Chemistry
