UNITE;Nombre de lignes d'adresses;"Nombre de lignes  sans ""univ. grenoble alpes""";Taux  d'erreurs;;;Debut ;Fin 
3SR                                                                  ;80;12;15%;;Periode ;janv-18;dec-2018
AGIES                                                                  ;19;2;11%;;;;
BIOSC-BCI                                                                  ;50;15;30%;;;;
BIOSC-BGE                                                                  ;32;9;28%;;;;
BIG;217;57;26%;;;;
CERAG;8;3;38%;;;;
CERMAV                                                                  ;62;27;44%;;;;
CHU                                                                  ;1278;924;72%;;;;
CIC;16;10;63%;;;;
DCM                                                                  ;85;11;13%;;;;
DPM;33;5;15%;;;;
EDYTEM                                                                  ;15;3;20%;;;;
G2ELAB;98;17;17%;;;;
GAEL; ;;;;;;
GIN                                                                  ;132;62;47%;;;;
GIPSA;259;44;17%;;;;
GSCOP;71;14;20%;;;;
HP2                                                                  ;93;28;30%;;;;
IAB                                                                  ;87;34;39%;;;;
IBS                                                                  ;160;29;18%;;;;
IGE                                                                  ;102;31;30%;;;;
IF                                                                  ;86;18;21%;;;;
IMEP                                                                ;111;31;28%;;;;
INEEL;425;187;44%;;;;
IPAG                                                                  ;364;52;14%;;;;
ISTERRE                                                                  ;286;40;14%;;;;
LAMA; ;;;;;;
LAPP                                                                  ;186;81;44%;;;;
LAPTH                                                                  ;13;4;31%;;;;
LBFA                                                                  ;39;12;31%;;;;
LCBM                                                                  ;31;11;35%;;;;
LCIS;43;3;7%;;;;
LECA                                                                  ;124;21;17%;;;;
LEGI                                                                  ;30;7;23%;;;;
LEPMI                                                                  ;103;32;31%;;;;
LGP2                                                                  ;73;16;22%;;;;
LIG                                                                  ;168;21;13%;;;;
LIPHY                                                                  ;170;40;24%;;;;
LIPPC2S;13;3;23%;;;;
LJK                                                                  ;144;26;18%;;;;
LMGP;35;3;9%;;;;
LNCMI                                                                  ;67;56;84%;;;;
LPCV; ;;;;;;
LPMMC                                                                  ;29;10;34%;;;;
LPNC                                                                  ;61;20;33%;;;;
LPSC                                                                  ;255;29;11%;;;;
LRB                                                                  ;12;7;58%;;;;
LRP                                                                  ;20;5;25%;;;;
LTM                                                                  ;53;22;42%;;;;
MEM;60;19;32%;;;;
PACTE                                                                  ;8;2;25%;;;;
PHELIQS;67;12;18%;;;;
SBT; ;;;;;;
SIMAP;130;36;28%;;;;
SPINTEC;79;15;19%;;;;
SYMMES;88;8;9%;;;;
TIMA;56;10;18%;;;;
TIMC                                                      ;160;36;23%;;;;
VERIMAG                                                                  ;29;4;14%;;;;
LETI                                                                  ;396;198;50%;;;;
LITEN                                                                  ;119;38;32%;;;;
