UNITE;Nombre de lignes d'adresses;"Nombre de lignes  sans ""univ. grenoble alpes""";Taux d'erreur;;;Debut ;Fin 
3SR                                                                  ;48;5;10%;;Periode ;janv-19;dec -2019
AGIES                                                                  ;25;2;8%;;;;
BIOSC-BCI                                                                  ;34;14;41%;;;;
BIOSC-BGE                                                                  ;32;5;16%;;;;
BIG;184;55;30%;;;;
CERAG;7;3;42%;;;;
CERMAV                                                                  ;84;21;25%;;;;
CHU                                                                  ;1357;995;73%;;;;
CIC;7;5;71%;;;;
DCM                                                                  ;64;7;11%;;;;
DPM;20;1;5%;;;;
EDYTEM                                                                  ;22;4;18%;;;;
G2ELAB;130;12;9%;;;;
GAEL;18;2;11%;;;;
GIN                                                                  ;100;41;41%;;;;
GIPSA                                                               ;283;34;12%;;;;
GSCOP;62;14;23%;;;;
HP2                                                                  ;128;29;23%;;;;
IAB                                                                  ;81;31;38%;;;;
IBS                                                                  ;175;33;19%;;;;
IGE                                                                  ;78;11;14%;;;;
IF                                                                  ;77;13;17%;;;;
IMEP                                                                ;109;31;29%;;;;
INEEL;401;153;38%;;;;
IPAG                                                                  ;278;20;7%;;;;
ISTERRE                                                                  ;300;21;7%;;;;
LAMA                                                                  ;31;2;6%;;;;
LAPP                                                                  ;179;10;6%;;;;
LAPTH                                                                  ;23;4;17%;;;;
LBFA                                                                  ;34;11;32%;;;;
LCBM                                                                  ;24;2;8%;;;;
LCIS;;;;;;;
LECA                                                                  ;115;14;12%;;;;
LEGI                                                                  ;43;9;21%;;;;
LEPMI                                                                  ;80;11;14%;;;;
LGP2                                                                  ;47;10;21%;;;;
LIG                                                                  ;127;8;6%;;;;
LIPHY                                                                  ;144;17;12%;;;;
LIPPC2S;;;;;;;
LJK                                                                  ;125;11;9%;;;;
LMGP;53;7;13%;;;;
LNCMI                                                                  ;65;55;85%;;;;
LPCV;20;1;5%;;;;
LPMMC                                                                  ;31;7;23%;;;;
LPNC                                                                  ;51;5;10%;;;;
LPSC                                                                  ;258;24;9%;;;;
LRB                                                                  ;21;14;67%;;;;
LRP                                                                  ;22;5;23%;;;;
LTM                                                                  ;47;11;23%;;;;
MEM;50;5;10%;;;;
PACTE                                                                  ;;;;;;;
PHELIQS;70;7;10%;;;;
SBT                                                                  ;5;3;60%;;;;
SIMAP;127;21;17%;;;;
SPINTEC;50;1;2%;;;;
SYMMES;100;8;8%;;;;
TIMA;55;6;11%;;;;
TIMC                                                      ;132;35;27%;;;;
VERIMAG                                                                  ;16;2;13%;;;;
LETI                                                                  ;373;115;31%;;;;
LITEN                                                                  ;106;25;24%;;;;
