UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
3SR;;;;;;
;INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES;MODELLING OF CYCLIC VISCO-ELASTO-PLASTIC BEHAVIOUR OF COATED WOVEN FABRICS UNDER BIAXIAL LOADING AND FINITE STRAIN;"DIB, W.;; BLAISE, A.;; TOURABI, A.;";" UJF GRENOBLE 1, GRENOBLE INP, CNRS UMR 5521, LAB 3SR, F-38041 GRENOBLE, FRANCE.; ";;
;ENGINEERING GEOLOGY;RELATING FRAGMENTATION, PLASTIC WORK AND CRITICAL STATE IN CRUSHABLE ROCK CLASTS;DANO, CHRISTOPHE;" DOMAINE UNIV, LAB 3SR, BP5338041, GRENOBLE 9, FRANCE.; ";;
;ACTA GEOTECHNICA;DEFORMATION AND STRESSES UPON DRAINAGE OF AN IDEALIZED GRANULAR MATERIAL;"YUAN, CHAO; CHAREYRE, BRUNO; DARVE, FELIX";" CNRS, 3SR, F-38000 GRENOBLE, FRANCE.;";;
;INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS;REVISITING THE EXISTENCE OF AN EFFECTIVE STRESS FOR WET GRANULAR SOILS WITH MICROMECHANICS;DARVE, FELIX;" 3SR, CNRS, F-38000 GRENOBLE, FRANCE.;";;
;ACTA GEOTECHNICA;GRAIN-SCALE CHARACTERIZATION OF WATER RETENTION BEHAVIOUR OF SAND USING X-RAY CT;"ANDO, EDWARD; BESUELLE, PIERRE; DESRUES, JACQUES";" CNRS, 3SR, F-38000 GRENOBLE, FRANCE.;";;
;MECHANICS RESEARCH COMMUNICATIONS;ON THE THRESHOLD CRACK OPENING EFFECT ON THE INTRINSIC PERMEABILITY OF LOCALIZED MACRO-CRACKS IN CONCRETE SAMPLES UNDER BRAZILIAN TEST CONDITIONS;DAL PONT, STEFANO;" UJF, GRENOBLE INP, LAB 3SR, CNRS,UMR5521, DOMAINE UNIV,BP53, F-38041 GRENOBLE 9, FRANCE.; ";;
;JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING;A COMPUTATIONAL FRAMEWORK FOR IMMISCIBLE THREE-PHASE FLOW IN DEFORMABLE POROUS MEDIA;LORET, BENJAMIN;" UNIV GRENOBLE, LAB 3SR, F-38041 GRENOBLE 9, FRANCE.;";;
;SOFT MATTER;SHEAR THINNING IN NON-BROWNIAN SUSPENSIONS;LENOIR, NICOLAS;" UJF GRENOBLE 1, GRENOBLE INP, CNRS, UMR 5521,LAB 3SR, GRENOBLE, FRANCE.; ";;
;JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS;ALL YOU NEED IS SHAPE: PREDICTING SHEAR BANDING IN SAND WITH LS-DEM;"ANDO, EDWARD; VIGGIANI, GIOACCHINO";" UJF GRENOBLE 1, GRENOBLE INP, CNRS, LAB 3SR,UMR 5521, GRENOBLE, FRANCE.;";;
;PHYSICAL MODELLING IN GEOTECHNICS, VOL 2;RIGID PILE IMPROVEMENT UNDER RIGID SLAB OR FOOTING UNDER CYCLIC LOADING;"JENCK, O.;; EMERIAULT, F.;; MENDES, C.; DOS SANTOS; YABA, O.;; TONI, J.; B.;; VIAN, G.;";" GRENOBLE ALPS UNIV, 3SR LAB, GRENOBLE, FRANCE.; ";;
;INTERNATIONAL CONFERENCE ON CONCENTRATING SOLAR POWER AND CHEMICAL ENERGY SYSTEMS (SOLARPACES 2017);NUMERICAL ANALYSIS OF GRANULAR BED BEHAVIOR IN THERMOCLINE STORAGE TANK AND BED/WALL INTERACTIONS;"DONZE, FREDERIC-VICTOR; HARTHONG, BARTHELEMY";" UGA, 3SR, F-38000 GRENOBLE, FRANCE.;";;
;IDS'2018: 21ST INTERNATIONAL DRYING SYMPOSIUM;A PORE-SCALE STUDY ON THE DRYING KINETICS AND MECHANICAL BEHAVIOR OF PARTICLE AGGREGATES;"CHAREYRE, B.;";" CNRS, 3SR, GRENOBLE, FRANCE.;";;
AGIES;;;;;;
;IRBM;SWALLOWING SOUND RECOGNITION AT HOME USING GMM;"DEMONGEOT, J.;";" UGA, AGEIS, FAC MED, F-38700 LA TRONCHE, FRANCE.; ";;
;CLINICS IN LABORATORY MEDICINE;BIOSPECIMENS AND BIOBANKING IN GLOBAL HEALTH;"COHEN, OLIVER D.;";" JOSEPH FOURIER UNIV, MED SCH GRENOBLE, AGEIS EA LAB 7407, F-38700 LA TRONCHE, FRANCE.; ";;
BIOSC-BCI;;;;;;
;EUROPEAN JOURNAL OF ENDOCRINOLOGY;HEPATIC SAFETY OF KETOCONAZOLE IN CUSHING'S SYNDROME: RESULTS OF A COMPASSIONATE USE PROGRAMME IN FRANCE;CHABRE, OLIVIER;" CEA GRENOBLE, INSERM U1036, IRTSV BCI, GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF CANCER;MIR-483-5P AND MIR-139-5P PROMOTE AGGRESSIVENESS BY TARGETING N-MYC DOWNSTREAM-REGULATED GENE FAMILY MEMBERS IN ADRENOCORTICAL CANCER;"AGOSTA, CLAIRE; LAUGIER, JONATHAN; GUYON, LAURENT; DENIS, JOSIANE; FEIGE, JEAN-JACQUES; CHABRE, OLIVIER; CHERRADI, NADIA";" INSERM, UNITE 1036, GRENOBLE, FRANCE.; ";;
;CELL DEATH & DISEASE;ABLATION OF BETA SUBUNIT OF PROTEIN KINASE CK2 IN MOUSE OOCYTES CAUSES FOLLICLE ATRESIA AND PREMATURE OVARIAN FAILURE;FILHOL-COCHET, ODILE;" INSERM, INST RECH TECHNOL & SCI VIVANT BIOL CANC & INFECT, COMMISSARIAT ENERGIE ATOM & ENERIGIES ALTERNAT GR, U1036, GRENOBLE, FRANCE.; ";;
