UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;
3SR;;;;;
 ;TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY;THREE-DIMENSIONAL NUMERICAL BACK-ANALYSIS OF A MONITORED DEEP EXCAVATION RETAINED BY STRUTTED DIAPHRAGM WALLS;EMERIAULT, FABRICE;" UJF GRENOBLE 1, GRENOBLE INP, CNRS UMR 5521, LAB 3SR, F-38041 GRENOBLE, FRANCE.;";
 ;APPITA;GRAMMAGE DEPENDENCE OF PAPER THICKNESS;BLOCH, JEAN-FRANCIS;" UNIV GRENOBLE ALOES, CNRS, GRENOBLE INP, 3SR LAB, F-38000 GRENOBLE, FRANCE.; ";
 ;GRANULAR MATTER;X-RAY CT ANALYSIS OF THE EVOLUTION OF BALLAST GRAIN MORPHOLOGY ALONG A MICRO-DEVAL TEST: KEY ROLE OF THE ASPERITY SCALE;"QUINTANILLA, IVAN DEIROS; COMBE, GAEL; EMERIAULT, FABRICE";" CNRS, 3SR, F-38000 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF THE AUSTRALIAN CERAMIC SOCIETY;EXPERIMENTAL CHARACTERISATION AND NUMERICAL SIMULATION OF THE THERMOMECHANICAL DAMAGE BEHAVIOUR OF KAOLINITIC REFRACTORY MATERIALS;"MAMEN, B.;; OUEDRAOGO, E.;";" UGA, GRENOBLE INP, 3SR LAB, F-38004 GRENOBLE, FRANCE.; ";
 ;INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE;NUMERICAL ANALYSIS ON SEISMIC RESISTANCE OF A TWO-STORY TIMBER-FRAMED STRUCTURE WITH STONE AND EARTH INFILL;"FRITSCH, E.;; SIEFFERT, Y.;; ALGUSAB, H.;; DAUDEVILLE, L.;";" CNRS, 3SR, GRENOBLE, FRANCE.; ";
AGIES;;;;;
 ;PLOS ONE;AN OCULOMETRICS-BASED BIOFEEDBACK SYSTEM TO IMPEDE FATIGUE DEVELOPMENT DURING COMPUTER WORK: A PROOF-OF-CONCEPT STUDY;"MARANDI, RAMTIN ZARGARI; VUILLERME, NICOLAS";" UNIV GRENOBLE ALOES, AGEIS, GRENOBLE, FRANCE.; ";
 ;FRONTIERS IN MEDICINE;COMPARISON OF STEP COUNT ASSESSED USING WRIST- AND HIP-WORN ACTIGRAPH GT3X IN FREE-LIVING CONDITIONS IN YOUNG AND OLDER ADULTS;"AUBOURG, TIMOTHEE; VUILLERME, NICOLAS";" UNIV GRENOBLE ALOES, AGEIS, GRENOBLE, FRANCE.; ";
BIOSC-BCI                                                                  ;;;;;
 ;JOURNAL OF MOLECULAR MEDICINE-JMM;NLRP7 IS INCREASED IN HUMAN IDIOPATHIC FETAL GROWTH RESTRICTION AND PLAYS A CRITICAL ROLE IN TROPHOBLAST DIFFERENTIATION;ALFAIDY, NADIA;" CEA GRENOBLE, LAB BCI BIG, INSERM, U1036, 17 RUE MARTYRS, F-38054 GRENOBLE 9, FRANCE.;";
 ;PRESSE MEDICALE;BIOLOGICAL DIAGNOSIS OF BRADYKINETIC ANGIOEDEMA: THE REFERENCE OF ANGIOEDEMAS (CREAK);"BOUILLET, LAURENCE; BOCCON-GIBOD, ISABELLE; DEROUX, ALBAN; MANSARD, CATHERINE";" UGA, SERV MED INTERNE, CHUGA, UNITE INSERM 1036, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF MEDICINAL CHEMISTRY;2-AMINOTHIAZOLE DERIVATIVES AS SELECTIVE ALLOSTERIC MODULATORS OF THE PROTEIN KINASE CK2. 1. IDENTIFICATION OF AN ALLOSTERIC BINDING SITE;"BESTGEN, BENOIT; COCHET, CLAUDE";" INSERM, U1036, F-38000 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF MEDICINAL CHEMISTRY;2-AMINOTHIAZOLE DERIVATIVES AS SELECTIVE ALLOSTERIC MODULATORS OF THE PROTEIN KINASE CK2. 2. STRUCTURE-BASED OPTIMIZATION AND INVESTIGATION OF EFFECTS SPECIFIC TO THE ALLOSTERIC MODE OF ACTION;"BESTGEN, BENOIT; FILHOL, ODILE; COCHET, CLAUDE";" INSERM, U1036, F-38000 GRENOBLE, FRANCE.; ";
