UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE
3SR;;;;
;JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING;HYDRO-MECHANICAL MODELLING OF MULTIPHASE FLOWIN NATURALLY FRACTURED COALBED USING A MULTISCALE APPROACH;BESUELLE, PIERRE;" GRENOBLE ALPES, GRENOBLE INP, CNRS, 3SR, F-38000 GRENOBLE, FRANCE.;"
;CONSTRUCTION AND BUILDING MATERIALS;DEVELOPMENT OF AN EXPERIMENTAL APPARATUS AIMED AT PERFORMING THERMAL-INDUCED SPALLING TESTS BASED ON A PROPANE GAS BURNER THROUGH TESTS ON ULTRA-HIGH PERFORMANCE CONCRETE;"OUEDRAOGO, E.;; UCH, B.;; NGUYEN, Q.; T.;; MISSEMER, L.;; MIRAS, A.;; MALECOT, Y.;";" UGA, GRENOBLE INP, 3SR LAB, GRENOBLE, FRANCE.; "
;COMPUTERS AND GEOTECHNICS;NUMERICAL STUDY OF THE SEGMENTAL TUNNEL LINING BEHAVIOR UNDER A SURFACE EXPLOSION - IMPACT OF THE LONGITUDINAL JOINTS SHAPE;DIAS, DANIEL;" GRENOBLE ALPS UNIV, DEPT CIVIL ENGN, LAB 3SR, POLYTECH GRENOBLE, GRENOBLE, FRANCE.; "
AGIES;;;;
;GENE;ACCRETION HISTORY OF LARGE RIBOSOMAL SUBUNITS DEDUCED FROM THEORETICAL MINIMAL RNA RINGS IS CONGRUENT WITH HISTORIES DERIVED FROM PHYLOGENETIC AND STRUCTURAL METHODS;"DEMONGEOT, JACQUES; SELIGMANN, HERVE";" UGA, FAC MED, LAB AGEIS EA 7407, CNRS,ORANGELABS TELECOMS4HLTH,TEAM TOOLS E GNOSIS, F-38700 LA TRONCHE, FRANCE.; "
BIOSC-BCI;;;;
;FRONTIERS IN PHYSIOLOGY;THE EMERGING ROLE OF THE PROKINETICINS AND HOMEOBOX GENES IN THE VASCULARIZATION OF THE PLACENTA: PHYSIOLOGICAL AND PATHOLOGICAL ASPECTS;"ALFAIDY, NADIA; HOFFMANN, PASCALE";" INSERM, UNITE 1036, GRENOBLE, FRANCE.; "
BIOSC-BGE;;;;
;EPIGENETICS & CHROMATIN;SYSTEMATIC GENETIC AND PROTEOMIC SCREENS DURING GAMETOGENESIS IDENTIFY H2BK34 METHYLATION AS AN EVOLUTIONARY CONSERVED MEIOTIC MARK;"CRESPO, MARION; ARLOTTO, MARIE; PFLIEGER, DELPHINE";" CNRS, IRIG BGE, F-38000 GRENOBLE, FRANCE.; "
BIG;;;;
CERAG;;;;
CERMAV;;;;
CHU;;;;
;EUROPEAN JOURNAL OF MEDICAL GENETICS;NATIONAL RECOMMENDATIONS OF THE FRENCH GENETICS AND CANCER GROUP -UNICANCER ON THE MODALITIES OF MULTI-GENES PANEL ANALYSES IN HEREDITARY PREDISPOSITIONS TO TUMORS OF THE DIGESTIVE TRACT;LEROUX, DOMINIQUE;" GRENOBLE UNIV HOSP, COUPLE ENFANT HOSP, GRENOBLE, FRANCE.; "
;REVUE DE MEDECINE INTERNE;SEVERE MDA5 DERMATOMYOSITIS ASSOCIATED WITH CANCER AND CONTROLLED BY JAK INHIBITOR;"DEROUX, A.;; LUGOSI, M.;; COLOMBE, B.;";" CTR HOSP UNIV, DEPT MED INTERNE, GRENOBLE, FRANCE.; "
;REVUE DE MEDECINE INTERNE;SEVERE MDA5 DERMATOMYOSITIS ASSOCIATED WITH CANCER AND CONTROLLED BY JAK INHIBITOR;"JALLES, C.;; TARDIEU, M.;";" CTR HOSP UNIV, DEPT DERMATOL, GRENOBLE, FRANCE.; "
;TRANSPLANT INTERNATIONAL;SHOULD KIDNEY ALLOGRAFTS FROM OLD DONORS BE ALLOCATED ONLY TO OLD RECIPIENTS?;ROSTAING, LIONEL;" CHU GRENOBLE ALPES, SERV NEPHROL DIALYSE APHERESES & TRANSPLANTAT, GRENOBLE, FRANCE.; "
;ORPHANET JOURNAL OF RARE DISEASES;LUNG FUNCTION IN BIRT-HOGG-DUBE SYNDROME: A RETROSPECTIVE ANALYSIS OF 96 PATIENTS;"BRIAULT, A.;";" CHU GRENOBLE, SERV PNEUMOL, GRENOBLE, FRANCE.; "
;BLOOD CANCER JOURNAL;ANALYSIS OF A COHORT OF 279 PATIENTS WITH HAIRY-CELL LEUKEMIA (HCL): 10 YEARS OF FOLLOW-UP;MARIETTE, CLARA;" CHU GRENOBLE, SERV HEMATOL, GRENOBLE, FRANCE.; "
;TRANSLATIONAL STROKE RESEARCH;AUTOLOGOUS MESENCHYMAL STEM CELLS IMPROVE MOTOR RECOVERY IN SUBACUTE ISCHEMIC STROKE: A RANDOMIZED CLINICAL TRIAL;"JAILLARD, ASSIA; LAMALLE, LAURENT; GRAND, SYLVIE";" CHU GRENOBLE ALPES CHUGA, IRMAGE, US17,CNRS,UMS 3552,UGA,INSERM, GRENOBLE, FRANCE.; "
;TRANSLATIONAL STROKE RESEARCH;AUTOLOGOUS MESENCHYMAL STEM CELLS IMPROVE MOTOR RECOVERY IN SUBACUTE ISCHEMIC STROKE: A RANDOMIZED CLINICAL TRIAL;"JAILLARD, ASSIA; HOMMEL, MARC";" CHUGA, POLE RECH, LA TRONCHE, FRANCE.; "
;TRANSLATIONAL STROKE RESEARCH;AUTOLOGOUS MESENCHYMAL STEM CELLS IMPROVE MOTOR RECOVERY IN SUBACUTE ISCHEMIC STROKE: A RANDOMIZED CLINICAL TRIAL;"FAVRE-WIKI, ISABELLE M.;; BARBIEUX-GUILLOT, MARIANNE; DETANTE, OLIVIER";" CHUGA, STROKE UNIT, LA TRONCHE, FRANCE.; "
;TRANSLATIONAL STROKE RESEARCH;AUTOLOGOUS MESENCHYMAL STEM CELLS IMPROVE MOTOR RECOVERY IN SUBACUTE ISCHEMIC STROKE: A RANDOMIZED CLINICAL TRIAL;GRAND, SYLVIE;" CHUGA, UNITE IRM, POLE IMAGERIE, LA TRONCHE, FRANCE.; "
;PHYSICA B-CONDENSED MATTER;EFFECTS OF CR-DOPING ON THE JAHN-TELLER, THE ORTHORHOMBIC TO RHOMBOHEDRAL, AND THE MAGNETIC TRANSITIONS IN LAMN1-XCRXO3 COMPOUNDS;"BINISKOS, N.;";" FORSCHUNGSZENTRUM JULICH, JULICH CTR NEUTRON SCI ILL, 71 AVE MARTYRS, F-38000 GRENOBLE, FRANCE.; "
;CANCER RADIOTHERAPIE;CONSTRUCTION OF RADIOBIOLOGICAL MODELS AS TCP (TUMOR CONTROL PROBABILITY) AND NTCP (NORMAL TISSUE COMPLICATION PROBABILITY): FROM DOSE TO CLINICAL EFFECTS PREDICTION;"BALOSSO, J.;";" CHU GRENOBLE ALPES, GRENOBLE, FRANCE.;"
;ANNALES DE CHIRURGIE PLASTIQUE ESTHETIQUE;RESULTS OF BLAUTH PALMAR FLAP IN CONGENITAL SYNDACTYLY: LONG-TERM OUTCOME IN A 31 WEBS STUDY;"DELORD, M.;; FORLI, A.;; ARIBERT, M.;; MOUTET, F.;; CORCELLA, D.;";" CHU GRENOBLE, HOP A MICHALLON, SOS MAIN GRENOBLE, UNITE CHIRURG REPARATRICE MAIN & BRULES, AVE MARQUIS DE GRESIVAUDAN,BP 217, F-38043 GRENOBLE 09, FRANCE.;"
;ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE;MIDWIVES' FEELINGS ABOUT THE POST-PARTUM CARE OF WOMEN WITH SEVERE MENTAL ILLNESS: A QUALITATIVE ANALYSIS;"POIZAT, A.;";" CHU GRENOBLE, HOP COUPLE ENFANT, UNITE TRANSVERSALE ACCOMPAGNEMENT PERINATAL CLIN, F-38700 LA TRONCHE, FRANCE.; "
;GERIATRIE ET PSYCHOLOGIE NEUROPSYCHIATRIE DE VIEILLISSEMENT;GERIATRIC UNITS AT THE BEGINNING OF THE 2020 COVID-19 EPIDEMIC IN FRANCE;GAVAZZI, GAETAN;" CHU GRENOBLE ALPES, COLL NATL ENSEIGNANTS GERIATRIE, GRENOBLE, FRANCE.; "
;JOURNAL OF APPLIED PHYSIOLOGY;LUNG AND CHEST WALL MECHANICS IN PATIENTS WITH ACUTE RESPIRATORY DISTRESS SYNDROME, EXPIRATORY FLOW LIMITATION, AND AIRWAY CLOSURE;"TERZI, NICOLAS; GALERNEAU, LOUIS-MARIE";" CHU GRENOBLE ALPES, MED INTENS REANIMAT, GRENOBLE, FRANCE.; "
;JOURNAL OF APPLIED PHYSIOLOGY;COMPARISON OF PLEURAL AND ESOPHAGEAL PRESSURE IN SUPINE AND PRONE POSITIONS IN A PORCINE MODEL OF ACUTE RESPIRATORY DISTRESS SYNDROME;"TERZI, N.;";" CHU GRENOBLE ALPES, MED INTENS REANIMAT, GRENOBLE, FRANCE.; "
;JOURNAL OF APPLIED PHYSIOLOGY;COMPARISON OF PLEURAL AND ESOPHAGEAL PRESSURE IN SUPINE AND PRONE POSITIONS IN A PORCINE MODEL OF ACUTE RESPIRATORY DISTRESS SYNDROME;"BAYAT, S.;";" CHU GRENOBLE ALPES, LAB EXPLORAT FONCT RESP, GRENOBLE, FRANCE.; "
;JOURNAL OF CLINICAL MEDICINE;RHEUMATOID MENINGITIS A RARE EXTRA-ARTICULAR MANIFESTATION OF RHEUMATOID ARTHRITIS: REPORT OF 6 CASES AND LITERATURE REVIEW;"TRABELSI, MELANIE; ROMAND, XAVIER; GILSON, MELANIE; BAILLET, ATHAN; GAUDIN, PHILIPPE";" CHU GRENOBLE ALPES, HOP SUD, RHEUMATOL DEPT, F-38130 ECHIROLLES, FRANCE.; "
;JOURNAL OF CLINICAL MEDICINE;RHEUMATOID MENINGITIS A RARE EXTRA-ARTICULAR MANIFESTATION OF RHEUMATOID ARTHRITIS: REPORT OF 6 CASES AND LITERATURE REVIEW;VAILLANT, MATHIEU;" CHU GRENOBLE ALPES, HOP NORD, NEUROL DEPT, F-38000 GRENOBLE, FRANCE.; "
;PROGRES EN UROLOGIE;URINARY TRACT INFECTIONS IN ADULTS: COMPARISON OF THE FRENCH AND THE EUROPEAN GUIDELINES;"BEY, E.;";" CHU GRENOBLE, SERV UROL & TRANSPLANTAT RENALE, BLVD CHANTOURNE, F-38700 LA TRONCHE, FRANCE.; "
;INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;PERCUTANEOUS ABLATION-INDUCED IMMUNOMODULATION IN HEPATOCELLULAR CARCINOMA;GHELFI, JULIEN;" CHU GRENOBLE ALPES, POLE DIGIDUNE, SERV RADIOL, F-38700 LA TRONCHE, FRANCE.; "
;INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;PERCUTANEOUS ABLATION-INDUCED IMMUNOMODULATION IN HEPATOCELLULAR CARCINOMA;"ROTH, GAEL; DECAENS, THOMAS; JILKOVA, ZUZANA MACEK";" CHU GRENOBLE ALPES, POLE DIGIDUNE, SERV HEPATOGASTROENTEROL, F-38700 LA TRONCHE, FRANCE.;"
